Mois,Apple iPhone 5
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,9
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,6
2010-06,6
2010-07,0
2010-08,0
2010-09,5
2010-10,6
2010-11,7
2010-12,0
2011-01,4
2011-02,0
2011-03,10
2011-04,4
2011-05,10
2011-06,8
2011-07,8
2011-08,7
2011-09,18
2011-10,17
2011-11,7
2011-12,4
2012-01,5
2012-02,7
2012-03,4
2012-04,5
2012-05,10
2012-06,8
2012-07,4
2012-08,7
2012-09,69
2012-10,94
2012-11,74
2012-12,68
2013-01,77
2013-02,100
2013-03,93
2013-04,72
2013-05,91
2013-06,80
2013-07,65
2013-08,52
2013-09,90
2013-10,60
2013-11,62
2013-12,47
2014-01,44
2014-02,24
2014-03,29
2014-04,30
2014-05,29
2014-06,22
2014-07,31
2014-08,24
2014-09,37
2014-10,33
2014-11,24
2014-12,35
2015-01,22
2015-02,36
2015-03,37
2015-04,22
2015-05,28
2015-06,22
2015-07,29
2015-08,24
2015-09,28
2015-10,22
2015-11,24
2015-12,19
2016-01,23
2016-02,19
2016-03,17
2016-04,17
2016-05,21
2016-06,12
2016-07,13
2016-08,16
2016-09,22
2016-10,15
2016-11,15
2016-12,16
2017-01,13
2017-02,13
2017-03,9
2017-04,10
2017-05,9
2017-06,10
2017-07,9
2017-08,10
2017-09,11
2017-10,8
2017-11,9
2017-12,10
2018-01,9
2018-02,8
2018-03,4
2018-04,6
2018-05,2
2018-06,12
2018-07,4
2018-08,4
2018-09,5
2018-10,4
2018-11,4
2018-12,4
2019-01,7
2019-02,3
2019-03,5
2019-04,8
2019-05,6
2019-06,3
2019-07,4
2019-08,5
2019-09,9
2019-10,8
2019-11,12
2019-12,11
2020-01,12
2020-02,9
2020-03,7
2020-04,5
2020-05,6
2020-06,6
