Mois,Sony Xperia 10
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,53
2009-12,43
2010-01,0
2010-02,0
2010-03,76
2010-04,78
2010-05,79
2010-06,90
2010-07,75
2010-08,50
2010-09,72
2010-10,50
2010-11,87
2010-12,0
2011-01,70
2011-02,65
2011-03,59
2011-04,37
2011-05,78
2011-06,53
2011-07,36
2011-08,72
2011-09,29
2011-10,70
2011-11,43
2011-12,63
2012-01,66
2012-02,64
2012-03,64
2012-04,0
2012-05,0
2012-06,33
2012-07,38
2012-08,39
2012-09,40
2012-10,50
2012-11,43
2012-12,55
2013-01,32
2013-02,43
2013-03,49
2013-04,48
2013-05,74
2013-06,76
2013-07,100
2013-08,44
2013-09,40
2013-10,90
2013-11,36
2013-12,35
2014-01,35
2014-02,0
2014-03,31
2014-04,0
2014-05,0
2014-06,31
2014-07,54
2014-08,53
2014-09,25
2014-10,23
2014-11,20
2014-12,0
2015-01,42
2015-02,24
2015-03,0
2015-04,24
2015-05,23
2015-06,24
2015-07,23
2015-08,21
2015-09,18
2015-10,15
2015-11,18
2015-12,12
2016-01,17
2016-02,26
2016-03,0
2016-04,18
2016-05,20
2016-06,24
2016-07,22
2016-08,22
2016-09,16
2016-10,23
2016-11,23
2016-12,16
2017-01,21
2017-02,21
2017-03,26
2017-04,22
2017-05,11
2017-06,0
2017-07,24
2017-08,12
2017-09,27
2017-10,13
2017-11,11
2017-12,28
2018-01,19
2018-02,14
2018-03,21
2018-04,27
2018-05,0
2018-06,27
2018-07,24
2018-08,17
2018-09,12
2018-10,17
2018-11,15
2018-12,0
2019-01,11
2019-02,12
2019-03,68
2019-04,66
2019-05,63
2019-06,63
2019-07,60
2019-08,91
2019-09,57
2019-10,71
2019-11,87
2019-12,77
2020-01,70
2020-02,56
2020-03,50
2020-04,55
2020-05,54
2020-06,62
