Mois,Apple iPhone 8
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,17
2008-07,0
2008-08,24
2008-09,23
2008-10,21
2008-11,19
2008-12,15
2009-01,17
2009-02,0
2009-03,18
2009-04,21
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,10
2010-01,11
2010-02,12
2010-03,0
2010-04,0
2010-05,12
2010-06,13
2010-07,11
2010-08,0
2010-09,0
2010-10,12
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,8
2011-04,0
2011-05,8
2011-06,8
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,11
2011-12,13
2012-01,7
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,8
2012-11,7
2012-12,0
2013-01,7
2013-02,20
2013-03,12
2013-04,0
2013-05,21
2013-06,12
2013-07,0
2013-08,10
2013-09,9
2013-10,26
2013-11,0
2013-12,8
2014-01,8
2014-02,0
2014-03,7
2014-04,0
2014-05,0
2014-06,0
2014-07,6
2014-08,6
2014-09,9
2014-10,0
2014-11,5
2014-12,4
2015-01,5
2015-02,0
2015-03,11
2015-04,6
2015-05,5
2015-06,0
2015-07,0
2015-08,0
2015-09,9
2015-10,4
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,4
2016-04,4
2016-05,0
2016-06,3
2016-07,3
2016-08,3
2016-09,3
2016-10,2
2016-11,3
2016-12,3
2017-01,8
2017-02,12
2017-03,6
2017-04,7
2017-05,7
2017-06,11
2017-07,16
2017-08,14
2017-09,56
2017-10,93
2017-11,83
2017-12,82
2018-01,98
2018-02,62
2018-03,82
2018-04,62
2018-05,78
2018-06,83
2018-07,92
2018-08,62
2018-09,100
2018-10,62
2018-11,96
2018-12,78
2019-01,71
2019-02,63
2019-03,75
2019-04,72
2019-05,62
2019-06,70
2019-07,86
2019-08,69
2019-09,100
2019-10,85
2019-11,99
2019-12,91
2020-01,98
2020-02,77
2020-03,70
2020-04,77
2020-05,62
2020-06,63
