Mois,Sony Xperia 1
2008-01,0
2008-02,47
2008-03,0
2008-04,46
2008-05,0
2008-06,0
2008-07,0
2008-08,89
2008-09,0
2008-10,0
2008-11,72
2008-12,57
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,55
2009-11,0
2009-12,0
2010-01,42
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,50
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,32
2011-08,0
2011-09,0
2011-10,0
2011-11,28
2011-12,0
2012-01,0
2012-02,0
2012-03,28
2012-04,0
2012-05,0
2012-06,29
2012-07,33
2012-08,34
2012-09,35
2012-10,0
2012-11,50
2012-12,24
2013-01,55
2013-02,38
2013-03,0
2013-04,0
2013-05,39
2013-06,45
2013-07,0
2013-08,39
2013-09,34
2013-10,0
2013-11,63
2013-12,30
2014-01,62
2014-02,30
2014-03,40
2014-04,28
2014-05,26
2014-06,27
2014-07,24
2014-08,39
2014-09,44
2014-10,20
2014-11,17
2014-12,48
2015-01,55
2015-02,0
2015-03,20
2015-04,42
2015-05,20
2015-06,42
2015-07,40
2015-08,46
2015-09,16
2015-10,13
2015-11,19
2015-12,27
2016-01,18
2016-02,16
2016-03,21
2016-04,21
2016-05,20
2016-06,10
2016-07,26
2016-08,14
2016-09,19
2016-10,14
2016-11,11
2016-12,14
2017-01,8
2017-02,28
2017-03,27
2017-04,25
2017-05,15
2017-06,10
2017-07,11
2017-08,16
2017-09,16
2017-10,27
2017-11,40
2017-12,10
2018-01,11
2018-02,12
2018-03,28
2018-04,24
2018-05,23
2018-06,16
2018-07,21
2018-08,20
2018-09,10
2018-10,20
2018-11,9
2018-12,0
2019-01,9
2019-02,10
2019-03,49
2019-04,36
2019-05,41
2019-06,100
2019-07,68
2019-08,37
2019-09,65
2019-10,54
2019-11,36
2019-12,27
2020-01,51
2020-02,63
2020-03,70
2020-04,58
2020-05,54
2020-06,62
